#ID,2dD,2dQ,2dW,4dD,4dQ,4dW,geneLength
GB44058,5280,3178,2762,3346,4792,1682,6031
GB44059,768,736,762,1112,1080,1528,1278
GB44060,116,122,134,92,82,80,4097
GB44061,476,562,588,512,498,548,3075
GB44062,806,770,704,798,800,786,3243
GB44063,236,270,300,288,338,396,534
GB44064,30,26,30,18,54,56,1532
GB44065,6,6,8,16,24,14,2664
GB44066,2,2,2,2,0,0,720
GB44067,1086,1136,982,1046,974,882,4290
GB44068,200,222,210,224,274,228,1573
GB44070,8,2,4,6,4,2,1383
GB44071,408,448,534,572,584,786,1760
GB44072,1024,564,652,510,196,278,4457
GB44073,740,240,644,1152,1050,1454,6655
GB44075,68,28,34,64,42,52,1332
GB44076,0,0,0,0,0,0,150
GB44077,224,194,226,226,226,246,2080
GB44078,1826,1616,1462,1308,1566,964,5884
GB44079,1094,888,892,668,448,384,6997
GB44080,912,890,852,970,1464,1430,2728
GB44082,376,366,396,384,346,378,2447
GB44083,816,796,714,642,630,538,1865
GB44084,126,136,130,136,150,164,1005
GB44085,36,42,44,42,38,40,1047
GB44086,146,150,198,156,146,212,2425
GB44088,22010,11430,12974,13332,11230,13896,29190
GB44092,162,104,136,200,198,350,7247
GB44096,150,252,242,178,170,182,1585
GB44097,252,294,306,238,252,248,1104
GB44098,256,302,296,136,92,140,1232
GB44099,46,20,34,30,100,40,3659
GB44100,11114,4224,12988,11350,6482,12586,1456
GB44101,1850,1620,1340,2444,526,492,9074
GB44102,86,144,152,108,98,126,1932
GB44103,616,828,698,634,824,656,1581
GB44104,2902,3070,3644,3698,3084,4388,1178
GB44105,218,170,140,158,184,120,1850
GB44106,2,2,2,4,2,4,282
GB44107,2,0,2,0,2,2,195
GB44108,22,16,20,20,26,24,363
GB44109,122,138,150,176,208,216,2666
GB44110,14,16,10,20,2,2,2637
GB44111,0,0,2,0,0,0,237
GB44112,10,8,8,6,4,2,1163
GB44113,564,582,600,692,966,838,3701
GB44114,130,150,162,132,126,120,2680
GB44115,300,454,412,328,356,284,2151
GB44116,1232,980,748,2574,1516,3108,3408
GB44117,2490,1304,1428,1234,864,678,7924
GB44119,1090,736,752,2184,2840,2610,3470
GB44120,22,8,24,30,12,112,1634
GB44121,1296,944,1098,580,554,856,7111
GB44122,106,78,164,716,286,934,2874
GB44123,172,182,226,180,148,154,2430
GB44124,94,106,132,118,88,128,1995
GB44125,514,692,620,522,582,530,1967
GB44126,2144,868,1056,1188,570,594,6905
GB44128,714,476,496,564,386,406,2735
GB44130,120,134,142,116,90,104,5095
GB44131,512,500,618,526,500,478,2244
GB44132,168,88,148,248,146,242,1173
GB44133,42642,21372,24140,31166,31228,28308,2798
GB44135,694,640,630,656,874,734,3634
GB44137,420,326,398,568,568,608,1701
GB44139,126,72,58,64,34,26,1502
GB44140,462,304,344,354,280,280,1784
GB44141,204,166,162,178,212,188,1279
GB44142,766,632,520,584,2124,1434,2882
GB44144,436,546,624,624,552,634,1620
GB44145,472,292,404,272,672,750,2019
GB44147,14350,14132,13598,14786,19350,18814,1314
GB44148,5782,4598,4698,4800,4388,4276,7692
GB44151,364,382,398,424,526,484,2162
GB44153,1012,1140,1010,1220,2368,1752,562
GB44154,590,710,752,796,738,882,1262
GB44155,1330,828,660,966,724,314,4593
GB44156,3414,2730,3124,2444,2440,2252,15728
GB44160,522,294,376,462,446,538,749
GB44161,2,0,0,2,0,2,320
GB44162,264,116,174,160,114,106,4122
GB44164,0,2,0,2,2,2,305
GB44165,308,344,274,280,384,244,2057
GB44166,0,2,2,2,2,2,2252
